Job Field,Job Title,Job Description,Key Responsibilities,Required Skills & Qualifications
Wealth Management,Insurance Specialist,"A licensed expert within a wealth management division who advises clients on life, disability, and long-term care insurance as part of their overall financial plan.","• Analyze a client's existing insurance policies and risk exposure.<br>• Recommend and sell insurance products (life, disability, LTC).<br>• Integrate insurance planning into the overall estate plan.","• Bachelor's degree.<br>• Must hold State Life, Health & Accident insurance licenses.<br>• CFP or CLU designation."
Wealth Management,Family Office Relationship Manager,"Services the most elite clients (Single Family Offices), coordinating all bank services for families typically with $100M+ in assets.","• Act as the ""quarterback"" for all bank services for a single family.<br>• Coordinate private banking, custom credit, and institutional-level investing.<br>• Manage generational wealth transfer and philanthropic planning.",• MBA/CFA/JD.<br>• Decades of experience serving UHNW individuals.
Commercial Banking,Special Assets Officer (Workout),A banker who manages the portfolio of non-performing commercial loans. Their job is to get the bank's money back from companies that are defaulting.,"• Manage a portfolio of defaulted and non-accrual loans.<br>• Negotiate workout plans, forbearance agreements, or settlements.<br>• Manage the foreclosure and liquidation process on collateral.","• Bachelor's in Finance.<br>• Expert credit, negotiation, and bankruptcy law skills."
Retail Banking,Branch Operations Specialist,"An expert on branch procedures, compliance, and systems. They often ""float"" between branches to train staff and conduct self-audits.",• Conduct operational self-audits of branch cash controls and compliance.<br>• Train new and existing branch staff on policies and procedures.<br>• Troubleshoot complex operational errors.<br>• Fill in for Assistant Managers during vacations/absences.,"• 5+ years of retail banking experience.<br>• Deep, expert-level knowledge of branch operations and compliance."
Risk Management,Financial Crimes Investigator,"A high-level investigator (often ex-law enforcement) who handles complex fraud rings, internal investigations, and elder financial abuse cases.",• Conduct deep investigations into complex external fraud rings.<br>• Investigate internal employee fraud and ethical violations.<br>• Work directly with federal and local law enforcement.<br>• Handle sensitive cases like elder financial abuse.,• Bachelor's degree (Criminal Justice).<br>• CFE (Certified Fraud Examiner) cert.<br>• 10+ years of investigative experience.
Wealth Management,Investment Strategist,"A senior market expert who develops the high-level investment ""house view"" (e.g., asset allocation, economic forecast) for the entire wealth division.",• Conduct global macroeconomic research.<br>• Develop the firm's official investment outlook and asset allocation models.<br>• Publish white papers and market commentary for advisors and clients.,"• MBA, CFA designation required.<br>• 10+ years as a senior economist or portfolio manager."
Bank Operations,Check Processing Supervisor,"Manages the team and equipment responsible for processing all paper checks, including scanning (Check 21), processing exceptions, and handling return items.",• Supervise the daily operations of the check processing department.<br>• Manage high-speed image sorting and capture equipment.<br>• Handle large-dollar exception items and NSF (non-sufficient funds) returns.,• Associate's degree.<br>• Strong operational and item-processing knowledge.
Investment Banking,"Industry Group Banker (e.g., TMT)","An Investment Banker (Analyst to MD) who works in an ""Industry Group,"" focusing only on clients in one sector (e.g., Technology, Media, & Telecom).","• Provide all IB services (M&A, IPO) specifically for clients in one industry.<br>• Develop deep industry expertise and relationships.<br>• Create industry-specific valuation models and trend reports.","• All standard IB qualifications, plus a deep passion/knowledge for a specific sector."
Operations,Lockbox Supervisor,Manages a bank operation where commercial clients have their customer payments (checks) mailed directly to a bank P.O. box for faster processing and deposit.,• Manage a team responsible for opening mail and scanning checks.<br>• Oversee data entry and validation of payments against client files.<br>• Ensure same-day deposit and reporting for corporate clients.,• Associate's degree.<br>• Strong people management and high-volume operations skills.
HR (Bank Specific),Commission Analyst,"An HR/Finance role responsible for accurately calculating and processing complex, variable commission payments for MLOs, bankers, and advisors.",• Gather sales performance data from multiple systems.<br>• Apply complex commission plan rules to calculate payouts.<br>• Prepare payroll reports and handle commission disputes from employees.,• Bachelor's in Finance/HR.<br>• Advanced Excel skills and extreme attention to detail.
Marketing,Product Manager (Banking),"Manages the lifecycle of a single bank product (e.g., the mobile app, a credit card). They blend tech, marketing, and business strategy.",• Define the strategy and feature roadmap for a specific bank product.<br>• Write user stories and work with developers to build new features.<br>• Analyze product usage data and profitability.<br>• Gather user feedback to guide product improvements.,"• Bachelor's/MBA.<br>• Experience in product management, finance, and Agile development."
